"Certified Utilities Net Generation by Prime Mover (MWh), 2012",...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12
Utility Name,Plant Name,Community Name,Fossil Fuel Turbines,Reciprocating Internal Combustion,Hydroelectric,Wind Turbine,Total Net Generation,Station Service Consumption,Gross Generation,Source,Notes
Alaska Village Electric Cooperative,Wales,Wales,0,585,NA,0,585,32,617,pce,NA
Alutiiq Power Company,Karluk,Karluk,0,266,NA,0,266,2,268,pce,NA
Anchorage Municipal Light & Power,Anchorage 1,Anchorage,54633,0,0,0,54633,NA,NA,eia,NA
Anchorage Municipal Light & Power,Eklutna Lake,Anchorage,0,0,71126,0,71126,NA,NA,eia,Generation from Eklutna Lake is shared by three Railbelt utilities: AML&P (53.3%); CEA (30%) and MEA (16.7%).
Anchorage Municipal Light & Power,George M Sullivan Generation Plant 2,Anchorage,1007089,0,0,0,1007089,NA,NA,eia,NA
Aniak Light & Power,Aniak,Aniak,0,2717,NA,0,2717,41,2758,pce,NA
"Atka, City of",Atka,Atka,0,404,6,0,410,32,442,pce,NA
Atmautluak Tribal Utilities,Atmautluak,Atmautluak,0,741,NA,0,741,19,760,pce,NA
Aurora Energy LLC Chena,Aurora Energy,Fairbanks,201405,0,0,0,201405,NA,NA,eia,NA
Barrow Utilities & Electric Cooperative Inc.,Barrow,Barrow,49580,0,0,0,49580,NA,NA,eia,NA
Beaver Joint Utilities,Beaver,Beaver,0,328,NA,0,328,4,332,pce,NA
Bethel Utilities Corporation,Bethel,"Bethel, Oscarville",0,44177,NA,0,44177,664,44841,pce,NA
"Buckland, City of",Buckland,Buckland,0,1562,NA,0,1562,40,1602,pce,NA
Chalkyitsik Village Council,Chalkyitsik,Chalkyitsik,0,290,NA,0,290,11,301,pce,NA
Chenega Ira Council,Chenega Bay,Chenega Bay,0,298,NA,0,298,10,308,pce,NA
"Chignik, City of",Chignik,Chignik,0,965,NA,0,965,23,988,pce,NA
Chignik Lagoon Power Utility,Chignik Lagoon,Chignik Lagoon,0,446,NA,0,446,16,462,pce,NA
Chignik Lake Electric Utility,Chignik Lake,Chignik Lake,0,381,NA,0,381,13,394,pce,NA
Chitina Electric Inc,Chitina,Chitina,0,529,NA,0,529,42,571,pce,NA
Chugach Electric Assn Inc,Beluga,Anchorage,2009571,0,0,0,2009571,NA,NA,eia,"In addition to Anchorage, CEA serves eight communities."
Chugach Electric Assn Inc,Cooper Lake,Anchorage,0,0,77589,0,77589,NA,NA,eia,"In addition to Anchorage, CEA serves eight communities."
Chugach Electric Assn Inc,International,Anchorage,56163,0,0,0,56163,NA,NA,eia,"In addition to Anchorage, CEA serves eight communities."
Circle Electric Utility,Circle,Circle,0,394,NA,0,394,1,395,pce,NA
Copper Valley Elec Assn Inc,Glennallen,Glennallen,0,12204,0,0,12204,NA,NA,eia,"In addition to Glennallen, the CVEA service area includes 14 communities."
Copper Valley Elec Assn Inc,Solomon Gulch,Valdez,0,0,44135,0,44135,NA,NA,eia,"In addition to Valdez, the CVEA service area includes 14 communities."
Copper Valley Elec Assn Inc,Valdez,Valdez,25,4401,0,0,4426,NA,NA,eia,"In addition to Valdez, the CVEA service area includes 14 communities."
Copper Valley Elec Assn Inc,Valdez Cogen,Valdez,29655,0,0,0,29655,NA,NA,eia,"In addition to Valdez, the CVEA service area includes 14 communities."
Cordova Electric Cooperative,Humpback Creek,"Cordova, Eyak",0,0,3477,0,3477,NA,NA,eia,NA
Cordova Electric Cooperative,Orca,"Cordova, Eyak",0,10786,0,0,10786,NA,NA,eia,NA
Cordova Electric Cooperative,Power Creek,"Cordova, Eyak",0,0,13297,0,13297,NA,NA,eia,NA
Diomede Joint Utilities,Diomede,Diomede,0,520,NA,0,520,31,551,pce,NA
Egegik Light & Power Co,Egegik,Egegik,0,608,NA,0,608,2,610,pce,NA
Elfin Cove Utility Commission,Elfin Cove,Elfin Cove,0,263,NA,0,263,32,295,pce,NA
"False Pass, City of",False Pass,False Pass,0,576,NA,0,576,43,619,pce,NA
Fire Island Wind LLC,Fire Island,Anchorage,0,0,0,18039,18039,0,18039,AEA,Independent Power Producer sells power to Chugach Electric Association.
"Galena, City of",Galena,Galena,0,5737,NA,0,5737,165,5902,pce,NA
G & K Inc,Cold Bay,Cold Bay,0,2844,NA,0,2844,164,3008,pce,NA
Gold Country Energy,Central,Central,0,527,NA,0,527,15,542,pce,NA
Golden Valley Elec Assn Inc,Delta Power,Fairbanks,-32,0,0,0,-32,NA,NA,eia,NA
Golden Valley Elec Assn Inc,Eva Creek,Fairbanks,0,0,0,13359,13359,0,13359,AEA,NA
Golden Valley Elec Assn Inc,Fairbanks,Fairbanks,10729,-62,0,0,10667,NA,NA,eia,NA
Golden Valley Elec Assn Inc,Healy,Healy,215407,17,0,0,215424,NA,NA,eia,NA
Golden Valley Elec Assn Inc,North Pole,Fairbanks,590971,0,0,0,590971,NA,NA,eia,NA
Golovin Power Utilities,Golovin,Golovin,0,812,NA,0,812,27,839,pce,NA
Gustavus Electric Co,Gustavus,Gustavus,0,184,1975,0,2159,40,2199,pce,NA
Gwitchyaa Zhee Utilities Company,Fort Yukon,Fort Yukon,0,3446,NA,0,3446,43,3489,pce,NA
Homer Electric Assn Inc,Bernice Lake,Homer,78818,0,0,0,78818,NA,NA,eia,NA
Homer Electric Assn Inc,Bradley Lake,Anchorage,0,0,397373,0,397373,NA,NA,eia,Generation from Bradley Lake is shared by six Railbelt utilities: CEA (30.4%); AML&P (25.9%); HEA (12%); MEA (13.8%); Seaward (1%); GVEA (16.9%)
Homer Electric Assn Inc,Nikiski Co-Generation,Homer,239080,0,0,0,239080,NA,NA,eia,NA
Homer Electric Assn Inc,Seldovia,Homer,0,201,0,0,201,NA,NA,eia,NA
Hughes Power & Light,Hughes,Hughes,0,397,NA,0,397,37,434,pce,NA
Igiugig Electric Company,Igiugig,Igiugig,0,335,NA,0,335,16,351,pce,NA
"I-N-N Electric Coop, Inc",Newhalen,"Iliamna, Newhalen, Nondalton",0,-337,4259,0,3922,412,4334,pce,NA
Inside Passage Electric,Angoon,Angoon,0,1814,NA,0,1814,65,1879,pce,NA
Inside Passage Electric,Chilkat Valley,Chilkat Valley,0,NA,1059,0,1059,63,1122,pce,NA
Inside Passage Electric,Hoonah,Hoonah,0,4668,NA,0,4668,76,4744,pce,NA
Inside Passage Electric,Kake,Kake,0,2970,NA,0,2970,49,3019,pce,NA
Ipnatchiaq Electric Company,Deering,Deering,0,734,NA,0,734,15,749,pce,NA
Ketchikan Public Utilities,Beaver Falls,Ketchikan,0,0,47490,0,47490,NA,NA,eia,NA
Ketchikan Public Utilities,Ketchikan,Ketchikan,0,0,24125,0,24125,NA,NA,eia,NA
Ketchikan Public Utilities,Silvis,Ketchikan,0,0,13745,0,13745,NA,NA,eia,NA
Ketchikan Public Utilities,Swan Lake,"Ketchikan, Petersburg, Wrangell",0,0,80974,0,80974,NA,NA,"AEA, SEPA",NA
Ketchikan Public Utilities,S W Bailey,Ketchikan,0,456,0,0,456,NA,NA,eia,NA
"King Cove, City of",King Cove,King Cove,0,2603,2450,0,5053,73,5126,pce,NA
Kipnuk Light Plant,Kipnuk,Kipnuk,0,1489,NA,0,1489,20,1509,pce,NA
Kodiak Electric Assn Inc,Kodiak,Kodiak,0,5486,0,0,5486,NA,NA,eia,"The KEA service area also includes: Port Lions, Chiniak, Womens Bay and Woody Island."
Kodiak Electric Assn Inc,Nymans Plant,Kodiak,0,141,0,0,141,NA,NA,eia,"The KEA service area also includes: Port Lions, Chiniak, Womens Bay and Woody Island."
Kodiak Electric Assn Inc,Pillar Mountain,Kodiak,0,0,0,16313,16313,NA,NA,eia,"The KEA service area also includes: Port Lions, Chiniak, Womens Bay and Woody Island."
