"Certified Utilities Net Generation, Fuel Use, Fuel Cost, and Efficiency, 2013",...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14
Golden Valley Elec Assn Inc,Fairbanks,Fairbanks,DFO,GT,101,18858,2471,NA,5.36,NA,0.14000000000000001,EIA,"In addition to Fairbanks, the GVEA service area includes 25 other communities."
Golden Valley Elec Assn Inc,Fairbanks,Fairbanks,DFO,IC,-120,1134,151,NA,NA,NA,0.14000000000000001,EIA,"In addition to Fairbanks, the GVEA service area includes 25 other communities."
Golden Valley Elec Assn Inc,Fairbanks,Fairbanks,RFO,GT,6896,1199520,168504,NA,5.75,NA,0.15,EIA,"In addition to Fairbanks, the GVEA service area includes 25 other communities."
Golden Valley Elec Assn Inc,Healy,Fairbanks,DFO,IC,16,1260,171,NA,12.7,NA,0.14000000000000001,EIA,"In addition to Fairbanks, the GVEA service area includes 25 other communities."
Golden Valley Elec Assn Inc,Healy,Fairbanks,DFO,ST,238,24024,3262,NA,9.91,NA,0.14000000000000001,EIA,"In addition to Fairbanks, the GVEA service area includes 25 other communities."
Golden Valley Elec Assn Inc,Healy,Fairbanks,SUB,ST,0,0,0,NA,NA,NA,19.579999999999998,EIA,"In addition to Fairbanks, the GVEA service area includes 25 other communities."
Golden Valley Elec Assn Inc,Healy,Fairbanks,WC,ST,191063,7754418,2585805,NA,1034.8499999999999,NA,11.6,EIA,"In addition to Fairbanks, the GVEA service area includes 25 other communities."
Golden Valley Elec Assn Inc,North Pole,Fairbanks,DFO,GT,437,48636,6373,NA,9,NA,0.14000000000000001,EIA,"In addition to Fairbanks, the GVEA service area includes 25 other communities."
Golden Valley Elec Assn Inc,North Pole,Fairbanks,JF,CA,67661,0,0,NA,NA,NA,0.14000000000000001,EIA,"In addition to Fairbanks, the GVEA service area includes 25 other communities."
Golden Valley Elec Assn Inc,North Pole,Fairbanks,JF,CT,295451,23345238,2779195,NA,12.66,NA,0.14000000000000001,EIA,"In addition to Fairbanks, the GVEA service area includes 25 other communities."
Golden Valley Elec Assn Inc,North Pole,Fairbanks,RFO,GT,27094,2764230,388309,NA,9.8000000000000007,NA,0.15,EIA,"In addition to Fairbanks, the GVEA service area includes 25 other communities."
Golovin Power Utilities,Golovin,Golovin,DFO,IC,807,66097,9166,3.75,12,0.31,0.14000000000000001,PCE,NA
Gustavus Electric Co,Gustavus,Gustavus,DFO,IC,64,6875,953,4.0999999999999996,13,0.32,0.14000000000000001,PCE,NA
Gwitchyaa Zhee Utilities Company,Fort Yukon,Fort Yukon,DFO,IC,3172,208476,28913,5.82,15,0.39,0.14000000000000001,PCE,NA
Homer Electric Assn Inc,Bradley Lake,Kalifornsky,WAT,HY,368254,0,3513510,NA,NA,NA,NA,EIA,NA
Homer Electric Assn Inc,Nikiski Co-Generation,Kalifornsky,NG,CA,53289,0,0,NA,NA,NA,1.02,EIA,NA
Homer Electric Assn Inc,Nikiski Co-Generation,Kalifornsky,NG,CT,209823,2690310,2706451,NA,77.989999999999995,NA,1.02,EIA,NA
Homer Electric Assn Inc,Seldovia,Kalifornsky,DFO,IC,87,8904,1314,NA,9.77,NA,0.14000000000000001,EIA,NA
Hughes Power & Light,Hughes,Hughes,DFO,IC,411,54889,7612,6.07,8,0.76,0.14000000000000001,PCE,NA
Igiugig Electric Company,Igiugig,Igiugig,DFO,IC,323,28605,3967,6.47,11,0.59,0.14000000000000001,PCE,NA
"I-N-N Electric Coop, Inc",Newhalen,Newhalen,DFO,IC,-250,4961,688,4.67,15,0.31,0.14000000000000001,PCE,NA
"I-N-N Electric Coop, Inc",Newhalen,Newhalen,WAT,HY,3275,0,31247,NA,NA,NA,NA,EIA,NA
Inside Passage Electric,Angoon,Angoon,DFO,IC,1760,139340,19325,4.0999999999999996,13,0.32,0.14000000000000001,PCE,NA
Inside Passage Electric,Hoonah,Hoonah,DFO,IC,4641,319378,44294,4.0999999999999996,14,0.28999999999999998,0.14000000000000001,PCE,NA
Inside Passage Electric,Kake,Kake,DFO,IC,3056,216422,30015,4.09,14,0.28999999999999998,0.14000000000000001,PCE,NA
Ipnatchiaq Electric Company,Deering,Deering,DFO,IC,705,55527,7701,4.62,13,0.36,0.14000000000000001,PCE,NA
Ketchikan Public Utilities,Beaver Falls,Ketchikan,WAT,HY,42463,0,405139,NA,NA,NA,NA,EIA,NA
Ketchikan Public Utilities,Ketchikan,Ketchikan,WAT,HY,20846,0,198893,NA,NA,NA,NA,EIA,NA
Ketchikan Public Utilities,Silvis,Ketchikan,WAT,HY,10997,0,104924,NA,NA,NA,NA,EIA,NA
Ketchikan Public Utilities,Swan Lake,Ketchikan,WAT,HY,69157,0,659826,NA,NA,NA,NA,EIA,NA
Ketchikan Public Utilities,S W Bailey,Ketchikan,DFO,IC,10204,532476,73786,NA,19.16,NA,0.14000000000000001,EIA,NA
"King Cove, City of",King Cove,King Cove,DFO,IC,2526,179028,24829,3.78,14,0.27,0.14000000000000001,PCE,NA
"King Cove, City of",King Cove,King Cove,WAT,HY,2432,0,23208,NA,NA,NA,NA,EIA,NA
Kipnuk Light Plant,Kipnuk,Kipnuk,DFO,IC,1685,118507,16435,4.16,14,0.3,0.14000000000000001,PCE,NA
Kodiak Electric Assn Inc,Kodiak,Kodiak,DFO,IC,5808,426006,58730,NA,13.63,NA,0.14000000000000001,EIA,"The KEA service area includes the communities of Port Lions, Chiniak, Womens Bay and Woody Island."
Kodiak Electric Assn Inc,Nymans Plant,Kodiak,DFO,IC,0,48972,6740,NA,0,NA,0.14000000000000001,EIA,"The KEA service area includes the communities of Port Lions, Chiniak, Womens Bay and Woody Island."
Kodiak Electric Assn Inc,Pillar Mountain,Kodiak,WND,WT,26699,0,254736,NA,NA,NA,NA,EIA,"The KEA service area includes the communities of Port Lions, Chiniak, Womens Bay and Woody Island."
Kodiak Electric Assn Inc,Port Lions,Kodiak,DFO,IC,0,1848,252,NA,0,NA,0.14000000000000001,EIA,"The KEA service area includes the communities of Port Lions, Chiniak, Womens Bay and Woody Island."
Kodiak Electric Assn Inc,Terror Lake,Kodiak,WAT,HY,119142,0,1136736,NA,NA,NA,NA,EIA,"The KEA service area includes the communities of Port Lions, Chiniak, Womens Bay and Woody Island."
Kokhanok Village Council,Kokhanok,Kokhanok,DFO,IC,363,33888,4699,6.15,11,0.56000000000000005,0.14000000000000001,PCE,NA
Kotzebue Electric Association,Kotzebue,Kotzebue,DFO,IC,18045,1337428,185487,3.52,13,0.27,0.14000000000000001,PCE,NA
Kotzebue Electric Association,Kotzebue,Kotzebue,WND,WT,1196,0,11411,NA,NA,NA,NA,EIA,NA
"Koyukuk, City of",Koyukuk,Koyukuk,DFO,IC,283,29331,4067,4.25,9,0.47,0.14000000000000001,PCE,NA
Kwethluk Incorporated d/b/a Kuiggluum Kallugvia,Kwethluk,Kwethluk,DFO,IC,1448,112564,15611,4.45,13,0.34,0.14000000000000001,PCE,NA
Kwigillingok Power Company,Kwigillingok,Kwigillingok,DFO,IC,984,79929,11085,4.38,12,0.37,0.14000000000000001,PCE,NA
Larsen Bay Utility Company,Larsen Bay,Larsen Bay,DFO,IC,26,5125,710,4.45,10,0.45,0.14000000000000001,PCE,NA
Levelock Electrical Coop,Levelock,Levelock,DFO,IC,424,41817,5799,4.03,11,0.37,0.14000000000000001,PCE,NA
Lime Village Electric Utility,Lime Village,Lime Village,DFO,IC,72,7548,1046,8.5,10,0.85,0.14000000000000001,PCE,NA
Manokotak Power Company,Manokotak,Manokotak,DFO,IC,340,113450,15734,4.18,3,1.39,0.14000000000000001,PCE,NA
Mcgrath Light & Power,McGrath,McGrath,DFO,IC,2598,190015,26353,4.5999999999999996,14,0.33,0.14000000000000001,PCE,NA
Metlakatla Power & Light,Centennial,Metlakatla,DFO,IC,-189,4872,679,NA,NA,NA,0.14000000000000001,EIA,NA
Metlakatla Power & Light,Chester Lake,Metlakatla,WAT,HY,4368,0,41675,NA,NA,NA,NA,EIA,NA
Metlakatla Power & Light,Purple Lake,Metlakatla,WAT,HY,16198,0,154544,NA,NA,NA,NA,EIA,NA
Middle Kuskokwim Electric,Chuathbaluk,Chuathbaluk,DFO,IC,110,27180,3769,4.5599999999999996,4,1.1399999999999999,0.14000000000000001,PCE,NA
Middle Kuskokwim Electric,Crooked Creek,Crooked Creek,DFO,IC,258,22641,3140,4.57,11,0.42,0.14000000000000001,PCE,NA
Middle Kuskokwim Electric,Red Devil,Red Devil,DFO,IC,88,10892,1510,4.57,8,0.56999999999999995,0.14000000000000001,PCE,NA
Middle Kuskokwim Electric,Sleetmute,Sleetmute,DFO,IC,237,23707,3287,4.57,10,0.46,0.14000000000000001,PCE,NA
Middle Kuskokwim Electric,Stony River,Stony River,DFO,IC,50,13821,1916,4.57,3,1.52,0.14000000000000001,PCE,NA
Naknek Electric Association,Naknek,Naknek,DFO,IC,19434,1264538,175378,3.59,15,0.24,0.14000000000000001,PCE,Provides power to South Naknek and King Salmon via intertie. Includes South Naknek's and King Salmon's data.
Napaskiak Electric Utility,Napaskiak,Napaskiak,DFO,IC,894,72661,10077,4.43,13,0.34,0.14000000000000001,PCE,NA
Naterkaq Light Plant (City of Chefornak),Chefornak,Chefornak,DFO,IC,1604,122827,17034,6.4,13,0.49,0.14000000000000001,PCE,NA
Native Village of Perryville,Perryville,Perryville,DFO,IC,170,15291,2120,4.55,11,0.41,0.14000000000000001,PCE,NA
Nelson Lagoon Electrical Coop,Nelson Lagoon,Nelson Lagoon,DFO,IC,328,37789,5240,4.55,8,0.56999999999999995,0.14000000000000001,PCE,NA
New Koliganek Village Council,Koliganek,Koliganek,DFO,IC,684,58983,8180,4.51,11,0.41,0.14000000000000001,PCE,NA
"Nikolai, City of",Nikolai,Nikolai,DFO,IC,405,39545,5484,6.31,10,0.63,0.14000000000000001,PCE,NA
Nome Joint Utility Systems,Snake River,Nome,DFO,IC,32745,2060912,285827,3.24,16,0.2,0.14000000000000001,PCE,NA
Nome Joint Utility Systems,Snake River,Nome,WND,WT,0,0,0,NA,NA,NA,NA,EIA,NA
North Slope Borough Power & Light,Anaktuvuk Pass,Anaktuvuk Pass,DFO,IC,4048,303019,42025,6.44,14,0.46,0.14000000000000001,PCE,NA
North Slope Borough Power & Light,Atqasuk,Atqasuk,DFO,IC,3388,269865,37427,5.46,12,0.46,0.14000000000000001,PCE,NA
North Slope Borough Power & Light,Kaktovik,Kaktovik,DFO,IC,4569,346350,48035,4.41,13,0.34,0.14000000000000001,PCE,NA
North Slope Borough Power & Light,Nuiqsut,Nuiqsut,DFO,IC,1235,24318,3379,NA,50.82,NA,0.14000000000000001,EIA,NA
North Slope Borough Power & Light,Nuiqsut,Nuiqsut,NG,IC,4688,12827,12827,NA,365.49,NA,1.02,EIA,NA
North Slope Borough Power & Light,Point Hope,Point Hope,DFO,IC,6345,461039,63941,4.2699999999999996,14,0.31,0.14000000000000001,PCE,NA
North Slope Borough Power & Light,Point Hope,Point Hope,NG,IC,0,0,0,NA,NA,NA,1.02,EIA,NA
North Slope Borough Power & Light,Point Lay,Point Lay,DFO,IC,3515,275574,38219,4.3,13,0.33,0.14000000000000001,PCE,NA
North Slope Borough Power & Light,Wainwright,Wainwright,DFO,IC,6341,478137,66312,4.25,13,0.33,0.14000000000000001,PCE,NA
Nunam Iqua Electric Company,Sheldon Point,Nunam Iqua,DFO,IC,881,73684,10219,3.85,12,0.32,0.14000000000000001,PCE,NA
Nushagak Electric Cooperative,Dillingham,Dillingham,DFO,IC,18160,1249162,173246,3.66,14,0.26,0.14000000000000001,PCE,Provides power to Aleknagik via intertie. Includes Aleknagik's data.
"Ouzinkie, City of",Ouzinkie,Ouzinkie,DFO,IC,434,37409,5188,4.46,12,0.37,0.14000000000000001,PCE,NA
Pedro Bay Village Council,Pedro Bay,Pedro Bay,DFO,IC,170,18284,2535,5.81,10,0.57999999999999996,0.14000000000000001,PCE,NA
Pelican Utility,Pelican,Pelican,DFO,IC,102,13679,1897,4.47,7,0.64,0.14000000000000001,PCE,NA
"Petersburg, City of",Blind Slough,Petersburg,DFO,IC,660,50232,6938,NA,13.15,NA,0.14000000000000001,EIA,NA
"Petersburg, City of",Blind Slough,Petersburg,WAT,HY,11717,0,111793,NA,NA,NA,NA,EIA,NA
Pilot Point Electric Utility,Pilot Point,Pilot Point,DFO,IC,411,37352,5180,4.1500000000000004,11,0.38,0.14000000000000001,PCE,NA
Port Heiden Utilities,Port Heiden,Port Heiden,DFO,IC,515,57058,7913,4.22,9,0.47,0.14000000000000001,PCE,NA
Puvurnaq Power Company,Kongiganak,Kongiganak,DFO,IC,841,70588,9789,4.4000000000000004,12,0.37,0.14000000000000001,PCE,NA
"Ruby, City of",Ruby,Ruby,DFO,IC,649,51828,7188,4.3600000000000003,13,0.34,0.14000000000000001,PCE,NA
"Saint George, City of",Saint George,Saint George,DFO,IC,673,53951,7482,7.31,13,0.56000000000000005,0.14000000000000001,PCE,NA
Saint Paul Municipal Electric,Saint Paul,Saint Paul,DFO,IC,4138,300418,41664,4.8499999999999996,14,0.35,0.14000000000000001,PCE,NA
"Seward, City of",Seward,Seward,DFO,IC,306,24066,3324,NA,12.72,NA,0.14000000000000001,EIA,"The Cityof Seward service area includes the communities of Crown Point, Primrose, Bear Creek and Lowell Point."
"Sitka, City & Borough of",Blue Lake,Sitka,WAT,HY,52463,0,500549,NA,NA,NA,NA,EIA,NA
"Sitka, City & Borough of",Green Lake,Sitka,WAT,HY,60781,0,579913,NA,NA,NA,NA,EIA,NA
"Sitka, City & Borough of",Jarvis Street,Sitka,DFO,IC,151,71820,9943,NA,2.1,NA,0.14000000000000001,EIA,NA
Southeast Alaska Power Agency,Tyee Lake,Ketchikan,WAT,HY,100440,0,0,NA,NA,0,0,AEA,NA
"Southfork Hydro, LLC",South Fork Hydro,Wasilla,WAT,HY,3725,0,0,NA,NA,0,0,AEA,Independent Power Producer located in Eagle River sells power to Matanuska Electric Association.
Takotna Community Assoc Inc,Takotna,Takotna,DFO,IC,200,21997,3050,5.2,9,0.57999999999999996,0.14000000000000001,PCE,NA
Tanalian Electric Cooperative,Port Alsworth,Port Alsworth,DFO,IC,766,65606,9098,5.09,11,0.46,0.14000000000000001,PCE,NA
Tanana Power Company Inc,Tanana,Tanana,DFO,IC,1104,87269,12103,3.84,13,0.3,0.14000000000000001,PCE,NA
Tatitlek Village Ira Council,Tatitlek,Tatitlek,DFO,IC,457,41743,5789,5.45,12,0.45,0.14000000000000001,PCE,NA
TDX Adak Generating LLC,Adak,Adak,DFO,IC,2681,214285,29719,4.91,12,0.41,0.14000000000000001,PCE,NA
TDX Corporation,Sand Point,Sand Point,DFO,IC,3161,230970,32033,4.59,14,0.33,0.14000000000000001,PCE,NA
TDX Manley Generating LLC,Manley Hot Springs,Manley Hot Springs,DFO,IC,426,35973,4989,3.88,12,0.32,0.14000000000000001,PCE,NA
"Tenakee Springs, City of",Tenakee Springs,Tenakee Springs,DFO,IC,399,31579,4379,4.74,12,0.4,0.14000000000000001,PCE,NA
Tuluksak Traditional,Tuluksak,Tuluksak,DFO,IC,679,56275,7804,4.22,13,0.32,0.14000000000000001,PCE,NA
Tuntutuliak Community,Tuntutuliak,Tuntutuliak,DFO,IC,795,83625,11597,4.54,9,0.5,0.14000000000000001,PCE,NA
Twin Hills Village Council,Twin Hills,Twin Hills,DFO,IC,279,30497,4229,4.5999999999999996,9,0.51,0.14000000000000001,PCE,NA
Umnak Power Company,Nikolski,Nikolski,DFO,IC,188,20620,2859,5.93,10,0.59,0.14000000000000001,PCE,NA
Unalakleet Valley Electric Cooperative,Unalakleet,Unalakleet,DFO,IC,3341,233335,32361,3.68,14,0.26,0.14000000000000001,PCE,NA
"Unalaska, City of",Dutch Harbor,Unalaska,DFO,IC,45034,2941806,394973,NA,15.31,NA,0.14000000000000001,EIA,NA
"Unalaska, City of",Unalaska Power Module,Unalaska,DFO,IC,175,12726,1708,NA,13.75,NA,0.14000000000000001,EIA,NA
Ungusraq Power Company,Newtok,Newtok,DFO,IC,454,43540,6038,4.33,10,0.43,0.14000000000000001,PCE,NA
Venetie Village Electric,Venetie,Venetie,DFO,IC,707,75380,10454,5.5,9,0.61,0.14000000000000001,PCE,NA
"White Mountain, City of",White Mountain,White Mountain,DFO,IC,740,66132,9171,3.63,11,0.33,0.14000000000000001,PCE,NA
"Wrangell, City of",Wrangell,Wrangell,DFO,IC,597,63714,8346,NA,9.3699999999999992,NA,0.14000000000000001,EIA,NA
Yakutat Power Inc,Yakutat,Yakutat,DFO,IC,6118,420534,58323,4.1399999999999997,14,0.3,0.14000000000000001,PCE,NA
