"Certified Utilities Net Generation by Fuel Type (MWh), 2013",...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14
Utility Name,Plant Name,Community Name,Oil,Gas,Coal,Hydro,Wind,Other,Oil (gallons),Gas (mcf),Coal (short tons),Source,Notes
Kwigillingok Power Company,Kwigillingok,Kwigillingok,984,0,0,NA,194,0,79929,0,0,pce,NA
Larsen Bay Utility Company,Larsen Bay,Larsen Bay,26,0,0,773,0,0,5125,0,0,pce,NA
Levelock Electrical Coop,Levelock,Levelock,424,0,0,NA,0,0,41817,0,0,pce,NA
Lime Village Electric Utility,Lime Village,Lime Village,72,0,0,NA,0,0,7548,0,0,pce,NA
Manokotak Power Company,Manokotak,Manokotak,340,0,0,NA,0,0,113450,0,0,pce,NA
Mcgrath Light & Power,McGrath,McGrath,2598,0,0,NA,0,0,190015,0,0,pce,NA
Metlakatla Power & Light,Centennial,Metlakatla,-189,0,0,0,0,0,4872,0,0,eia,NA
Metlakatla Power & Light,Chester Lake,Metlakatla,0,0,0,4368,0,0,0,0,0,eia,NA
Metlakatla Power & Light,Purple Lake,Metlakatla,0,0,0,16198,0,0,0,0,0,eia,NA
Middle Kuskokwim Electric,Chuathbaluk,Chuathbaluk,110,0,0,NA,0,0,27180,0,0,pce,NA
Middle Kuskokwim Electric,Crooked Creek,Crooked Creek,258,0,0,NA,0,0,22641,0,0,pce,NA
Middle Kuskokwim Electric,Red Devil,Red Devil,88,0,0,NA,0,0,10892,0,0,pce,NA
Middle Kuskokwim Electric,Sleetmute,Sleetmute,237,0,0,NA,0,0,23707,0,0,pce,NA
Middle Kuskokwim Electric,Stony River,Stony River,50,0,0,NA,0,0,13821,0,0,pce,NA
Naknek Electric Association,Naknek,Naknek,19434,0,0,NA,0,0,1264538,0,0,pce,Provides power to South Naknek and King Salmon via intertie. Includes South Naknek's and King Salmon's data.
Napaskiak Electric Utility,Napaskiak,Napaskiak,894,0,0,NA,0,0,72661,0,0,pce,NA
Naterkaq Light Plant (City of Chefornak),Chefornak,Chefornak,1604,0,0,NA,0,0,122827,0,0,pce,NA
Native Village of Perryville,Perryville,Perryville,170,0,0,NA,12,0,15291,0,0,pce,NA
Nelson Lagoon Electrical Coop,Nelson Lagoon,Nelson Lagoon,328,0,0,NA,0,0,37789,0,0,pce,NA
New Koliganek Village Council,Koliganek,Koliganek,684,0,0,NA,0,0,58983,0,0,pce,NA
"Nikolai, City of",Nikolai,Nikolai,405,0,0,NA,0,0,39545,0,0,pce,NA
Nome Joint Utility Systems,Snake River,Nome,32745,0,0,NA,0,0,2060912,0,0,pce,NA
North Slope Borough Power & Light,Anaktuvuk Pass,Anaktuvuk Pass,4048,0,0,NA,0,0,303019,0,0,pce,NA
North Slope Borough Power & Light,Atqasuk,Atqasuk,3388,0,0,NA,0,0,269865,0,0,pce,NA
North Slope Borough Power & Light,Kaktovik,Kaktovik,4569,0,0,NA,0,0,346350,0,0,pce,NA
North Slope Borough Power & Light,Nuiqsut,Nuiqsut,1236,4688,0,0,0,0,24318,12827,0,eia,NA
North Slope Borough Power & Light,Point Hope,Point Hope,6345,0,0,NA,0,0,461039,0,0,pce,NA
North Slope Borough Power & Light,Point Lay,Point Lay,3515,0,0,NA,0,0,275574,0,0,pce,NA
North Slope Borough Power & Light,Wainwright,Wainwright,6341,0,0,NA,0,0,478137,0,0,pce,NA
Nunam Iqua Electric Company,Sheldon Point,Nunam Iqua,881,0,0,NA,0,0,73684,0,0,pce,NA
Nushagak Electric Cooperative,Dillingham,Dillingham,18160,0,0,NA,0,0,1249162,0,0,pce,Provides power to Aleknagik via intertie. Includes Aleknagik's data.
"Ouzinkie, City of",Ouzinkie,Ouzinkie,434,0,0,326,0,0,37409,0,0,pce,NA
Pedro Bay Village Council,Pedro Bay,Pedro Bay,170,0,0,NA,0,0,18284,0,0,pce,NA
Pelican Utility,Pelican,Pelican,102,0,0,932,0,0,13679,0,0,pce,NA
"Petersburg, City of",Blind Slough,Petersburg,661,0,0,11717,0,0,50232,0,0,eia,NA
Pilot Point Electric Utility,Pilot Point,Pilot Point,411,0,0,NA,0,0,37352,0,0,pce,NA
Port Heiden Utilities,Port Heiden,Port Heiden,515,0,0,NA,0,0,57058,0,0,pce,NA
Puvurnaq Power Company,Kongiganak,Kongiganak,841,0,0,NA,375,0,70588,0,0,pce,NA
"Ruby, City of",Ruby,Ruby,649,0,0,NA,0,0,51828,0,0,pce,NA
"Saint George, City of",Saint George,Saint George,673,0,0,NA,0,0,53951,0,0,pce,NA
Saint Paul Municipal Electric,Saint Paul,Saint Paul,4138,0,0,NA,0,0,300418,0,0,pce,NA
"Seward, City of",Seward,Seward,306,0,0,0,0,0,24066,0,0,eia,"The City of Seward service area includes the communities of Crown Point, Primrose, Bear Creek and Lowell Point."
"Sitka, City & Borough of",Blue Lake,Sitka,0,0,0,52463,0,0,0,0,0,eia,NA
"Sitka, City & Borough of",Green Lake,Sitka,0,0,0,60781,0,0,0,0,0,eia,NA
"Sitka, City & Borough of",Jarvis Street,Sitka,151,0,0,0,0,0,71820,0,0,eia,NA
Southeast Alaska Power Agency,Tyee Lake,Ketchikan,0,0,0,100440,0,0,0,0,0,AEA,NA
"Southfork Hydro, LLC",South Fork Hydro,Wasilla,0,0,0,3725,0,0,0,0,0,AEA,Independent Power Producer located in Eagle River sells power to Matanuska Electric Association.
Takotna Community Assoc Inc,Takotna,Takotna,200,0,0,NA,0,0,21997,0,0,pce,NA
Tanalian Electric Cooperative,Port Alsworth,Port Alsworth,766,0,0,NA,0,0,65606,0,0,pce,NA
Tanana Power Company Inc,Tanana,Tanana,1104,0,0,NA,0,0,87269,0,0,pce,NA
Tatitlek Village Ira Council,Tatitlek,Tatitlek,457,0,0,NA,0,0,41743,0,0,pce,NA
