"Certified Utilities Installed Capacity by Prime Mover by Plant (kW), 2013",...2,...3,...4,...5,...6,...7,...8,...9,...10,...11
Utility Name,Plant Name,Community Name,Total Capacity,Fossil Fuel Turbines,Internal Combustion,Hydroelectric,Wind Turbine,Other,Source,Notes
Egegik Light & Power Co,Egegik,Egegik,380,0,380,0,0,0,AEA Village Assessment,NA
Elfin Cove Utility Commission,Elfin Cove,Elfin Cove,347,0,347,0,0,0,AEA Village Assessment,NA
"Enerdyne, LLC",McRoberts Creek,Wasilla,125,0,0,125,0,0,AEA Hydro Program Manager,"In addition to Wasilla, the MEA service area includes 28 other communities."
"False Pass, City of",False Pass,False Pass,375,0,375,0,0,0,AEA Village Assessment,NA
Fire Island Wind LLC,Fire Island,Anchorage,18000,0,0,0,18000,0,EIA-F860,"In addition to Anchorage, the CEA service area includes eight other communities."
"Galena, City of",Galena,Galena,3900,0,3900,0,0,0,EIA-F860,NA
G & K Inc,Cold Bay,Cold Bay,2495,0,2495,0,0,0,AEA Village Assessment,NA
Gold Country Energy,Central,Central,575,0,575,0,0,0,AEA Village Assessment,NA
Golden Valley Elec Assn Inc,Battery Energy Storage System,Fairbanks,27000,0,0,0,0,27000,EIA-F860,"In addition to Fairbanks, the GVEA service area includes 25 other communities."
Golden Valley Elec Assn Inc,Delta Power,Fairbanks,23100,23100,0,0,0,0,EIA-F860,"In addition to Fairbanks, the GVEA service area includes 25 other communities."
Golden Valley Elec Assn Inc,Eva Creek,Fairbanks,24600,0,0,0,24600,0,EIA-F860,"In addition to Fairbanks, the GVEA service area includes 25 other communities."
Golden Valley Elec Assn Inc,Fairbanks,Fairbanks,42200,36800,5400,0,0,0,EIA-F860,"In addition to Fairbanks, the GVEA service area includes 25 other communities."
Golden Valley Elec Assn Inc,Healy,Fairbanks,30800,28000,2800,0,0,0,EIA-F860,"In addition to Fairbanks, the GVEA service area includes 25 other communities."
Golden Valley Elec Assn Inc,North Pole,Fairbanks,181000,181000,0,0,0,0,EIA-F860,"In addition to Fairbanks, the GVEA service area includes 25 other communities."
Golovin Power Utilities,Golovin,Golovin,580,0,580,0,0,0,AEA Village Assessment,NA
Gustavus Electric Co,Falls Creek,Gustavus,800,0,0,800,0,0,AEA Hydro Program Manager,NA
Gustavus Electric Co,Gustavus,Gustavus,842,0,842,0,0,0,AEA Village Assessment,NA
Gwitchyaa Zhee Utilities Company,Fort Yukon,Fort Yukon,2100,0,2100,0,0,0,EIA-F860,NA
Homer Electric Assn Inc,Bernice Lake,Anchorage,76700,76700,0,0,0,0,EIA-F860,"In addition to Anchorage, the CEA service area includes eight other communities."
Homer Electric Assn Inc,Bradley Lake,Kalifornsky,120000,0,0,120000,0,0,AEA,NA
Homer Electric Assn Inc,Nikiski Co-Generation,Kalifornsky,77900,77900,0,0,0,0,EIA-F860,NA
Homer Electric Assn Inc,Seldovia,Kalifornsky,2400,0,2400,0,0,0,EIA-F860,NA
Hughes Power & Light,Hughes,Hughes,230,0,230,0,0,0,AEA Village Assessment,NA
Igiugig Electric Company,Igiugig,Igiugig,201,0,201,0,0,0,AEA Village Assessment,NA
"I-N-N Electric Coop, Inc",Newhalen,Newhalen,1724,0,900,824,0,0,EIA-F860,NA
Inside Passage Electric,10 Mile,Haines,600,0,0,600,0,0,AEA Hydro Program Manager,Part of the Alaska Power Company's grid in the Upper Lynn Canal service area.
Inside Passage Electric,Angoon,Angoon,1500,0,1500,0,0,0,EIA-F860,NA
Inside Passage Electric,Chilkat Valley,Chilkat Valley,600,0,600,0,0,0,AEA,Provides power to Klukwan via intertie.
Inside Passage Electric,Hoonah,Hoonah,2000,0,2000,0,0,0,EIA-F860,NA
Inside Passage Electric,Kake,Kake,2400,0,2400,0,0,0,EIA-F860,NA
Ipnatchiaq Electric Company,Deering,Deering,577,0,577,0,0,0,AEA Village Assessment,NA
Ketchikan Public Utilities,Beaver Falls,Ketchikan,5400,0,0,5400,0,0,EIA-F860,NA
Ketchikan Public Utilities,Ketchikan,Ketchikan,4200,0,0,4200,0,0,EIA-F860,NA
Ketchikan Public Utilities,Silvis,Ketchikan,2100,0,0,2100,0,0,EIA-F860,NA
Ketchikan Public Utilities,Swan Lake,Ketchikan,22400,0,0,22400,0,0,EIA-F860,NA
Ketchikan Public Utilities,S W Bailey,Ketchikan,25900,0,25900,0,0,0,EIA-F860,NA
"King Cove, City of",King Cove,King Cove,2600,0,1800,800,0,0,EIA-F860,NA
Kobuk Valley Electric Company,Kobuk,Kobuk,215,0,215,0,0,0,AEA Village Assessment,Receives power from Shungnak via intertie. Refer to Shungnak for fuel use and cost data.
Kodiak Electric Assn Inc,ESS Battery,Kodiak,3000,0,0,0,0,3000,EIA-F860,"The KEA service area includes the communities of Port Lions, Chiniak, Womens Bay and Woody Island."
Kodiak Electric Assn Inc,Kodiak,Kodiak,22300,0,22300,0,0,0,EIA-F860,"The KEA service area includes the communities of Port Lions, Chiniak, Womens Bay and Woody Island."
Kodiak Electric Assn Inc,Nymans Plant,Kodiak,10000,0,10000,0,0,0,EIA-F860,"The KEA service area includes the communities of Port Lions, Chiniak, Womens Bay and Woody Island."
Kodiak Electric Assn Inc,Pillar Mountain,Kodiak,9000,0,0,0,9000,0,EIA-F860,"The KEA service area includes the communities of Port Lions, Chiniak, Womens Bay and Woody Island."
Kodiak Electric Assn Inc,Port Lions,Kodiak,1000,0,1000,0,0,0,EIA-F860,"The KEA service area includes the communities of Port Lions, Chiniak, Womens Bay and Woody Island."
Kodiak Electric Assn Inc,Terror Lake,Kodiak,22400,0,0,22400,0,0,EIA-F860,"The KEA service area includes the communities of Port Lions, Chiniak, Womens Bay and Woody Island."
Kokhanok Village Council,Kokhanok,Kokhanok,792,0,612,0,180,0,AEA Village Assessment,NA
Kotzebue Electric Association,Kotzebue,Kotzebue,15800,0,11100,0,4700,0,EIA-F860,NA
"Koyukuk, City of",Koyukuk,Koyukuk,202,0,202,0,0,0,AEA Village Assessment,NA
Kwethluk Incorporated d/b/a Kuiggluum Kallugvia,Kwethluk,Kwethluk,1300,0,1300,0,0,0,AEA Village Assessment,NA
Kwigillingok Power Company,Kwigillingok,Kwigillingok,1198,0,723,0,475,0,AEA Village Assessment,NA
Larsen Bay Utility Company,Larsen Bay,Larsen Bay,868,0,393,475,0,0,"AEA Hydro Program Manager, AEA Village Assessment",NA
Levelock Electrical Coop,Levelock,Levelock,234,0,234,0,0,0,AEA Village Assessment,NA
Manokotak Power Company,Manokotak,Manokotak,730,0,730,0,0,0,AEA Village Assessment,NA
Mcgrath Light & Power,McGrath,McGrath,2200,0,2200,0,0,0,EIA-F860,NA
Metlakatla Power & Light,Centennial,Metlakatla,3300,0,3300,0,0,0,EIA-F860,NA
Metlakatla Power & Light,Chester Lake,Metlakatla,1000,0,0,1000,0,0,EIA-F860,NA
Metlakatla Power & Light,Purple Lake,Metlakatla,3900,0,0,3900,0,0,EIA-F860,NA
