AK Plant ID,Utility Name,Plant Name,Intertie Name,AEA Energy Region,ACEP Energy Region
11,Alaska Electric Light & Power Company,Lemon Creek,Juneau_grid,Southeast,Coastal
12,Alaska Electric Light & Power Company,Salmon Creek 1,Juneau_grid,Southeast,Coastal
13,Alaska Electric Light & Power Company,Snettisham,Juneau_grid,Southeast,Coastal
140,Elfin Cove Utility Commission,Elfin Cove,Elfin Cove_grid,Southeast,Coastal
15,Alaska Power & Telephone Company,Black Bear Lake,Prince of Wales Is._grid,Southeast,Coastal
16,Alaska Power & Telephone Company,Goat Lake Hydro,UpperLynnCanal_grid,Southeast,Coastal
163,Inside Passage Electric,Angoon,Angoon_grid,Southeast,Coastal
164,Inside Passage Electric,Hoonah,Hoonah_grid,Southeast,Coastal
165,Inside Passage Electric,Kake,Kake_grid,Southeast,Coastal
166,Inside Passage Electric,Chilkat Valley,UpperLynnCanal_grid,Southeast,Coastal
17,Alaska Power & Telephone Company,Kasidaya Creek Hydro,UpperLynnCanal_grid,Southeast,Coastal
171,Ketchikan Public Utilities,Beaver Falls,SEAPA_grid,Southeast,Coastal
172,Ketchikan Public Utilities,Ketchikan,SEAPA_grid,Southeast,Coastal
173,Ketchikan Public Utilities,S W Bailey,SEAPA_grid,Southeast,Coastal
174,Ketchikan Public Utilities,Silvis,SEAPA_grid,Southeast,Coastal
175,Southeast Alaska Power Agency,Swan Lake,SEAPA_grid,Southeast,Coastal
176,Ketchikan Public Utilities,Whitman,SEAPA_grid,Southeast,Coastal
18,Alaska Power & Telephone Company,South Fork,Prince of Wales Is._grid,Southeast,Coastal
199,Metlakatla Power & Light,Centennial,Metlakatla_grid,Southeast,Coastal
20,Alaska Power & Telephone Company,Craig,Prince of Wales Is._grid,Southeast,Coastal
200,Metlakatla Power & Light,Chester Lake,Metlakatla_grid,Southeast,Coastal
201,Metlakatla Power & Light,Purple Lake,Metlakatla_grid,Southeast,Coastal
21,Alaska Power & Telephone Company,False Island,Prince of Wales Is._grid,Southeast,Coastal
22,Alaska Power & Telephone Company,Haines,UpperLynnCanal_grid,Southeast,Coastal
228,Pelican Utility,Pelican,Pelican_grid,Southeast,Coastal
229,Petersburg Borough - (AK),Blind Slough,SEAPA_grid,Southeast,Coastal
23,Alaska Power & Telephone Company,Hydaburg,Prince of Wales Is._grid,Southeast,Coastal
24,Alaska Power & Telephone Company,Klawock Power Generation Station,Prince of Wales Is._grid,Southeast,Coastal
240,"Sitka, City & Borough of",Blue Lake Hydro,Sitka_grid,Southeast,Coastal
241,"Sitka, City & Borough of",Green Lake,Sitka_grid,Southeast,Coastal
242,"Sitka, City & Borough of",Jarvis Street,Sitka_grid,Southeast,Coastal
244,Southeast Alaska Power Agency,Tyee Lake Hydroelectric Facility,SEAPA_grid,Southeast,Coastal
256,"Tenakee Springs, City of",Tenakee Springs,Tenakee Springs_grid,Southeast,Coastal
26,Alaska Power & Telephone Company,Skagway,UpperLynnCanal_grid,Southeast,Coastal
273,"Wrangell, City of",Wrangell,SEAPA_grid,Southeast,Coastal
28,Alaska Power & Telephone Company,Thorne Bay Plant,Prince of Wales Is._grid,Southeast,Coastal
35,Alaska Power & Telephone Company,Gustavus,Gustavus_grid,Southeast,Coastal
40,Alaska Power & Telephone Company,Whale Pass,Whale_Pass_grid,Southeast,Coastal
6,Alaska Electric Light & Power Company,Annex Creek,Juneau_grid,Southeast,Coastal
7,Alaska Electric Light & Power Company,Auke Bay,Juneau_grid,Southeast,Coastal
78,Alaska Village Electric Cooperative,Yakutat,Yakutat_grid,Southeast,Coastal
8,Alaska Electric Light & Power Company,Gold Creek,Juneau_grid,Southeast,Coastal
9,Alaska Electric Light & Power Company,Industrial Plant,Juneau_grid,Southeast,Coastal
167,Inside Passage Electric,Klukwan,UpperLynnCanal_grid,Southeast,Coastal
19,Alaska Power & Telephone Company,Viking,Prince of Wales Is._grid,Southeast,Coastal
278,"Inside Passage Elec Coop, Inc",Klawock,Prince of Wales Is._grid,Southeast,Coastal
280,Sitka City of & Borough of,Blue Lake Fish Valve,Sitka_grid,Southeast,Coastal
33,Alaska Power & Telephone Company,Coffman Cove,Prince of Wales Is._grid,Southeast,Coastal
37,Alaska Power & Telephone Company,Hollis,Prince of Wales Is._grid,Southeast,Coastal
