"","Utility Name","Community Name","Residential Revenue","Residential Sales","Residential Customers","Residential $/kWh","Commercial Revenue","Commercial Sales","Commercial Customers","Commercial $/kWh","Other Revenue","Other Sales","Other Customers","Other $/kWh","Total Revenue","Total Sales","Total Customers","Total $/kWh","source","Notes"
"117","Inside Passage Electric","Chilkat Valley","423","651","204","0.65","249","384","25","0.65","31","48","17","0.65","703","1083","245","0.65","PCE","Provides power to Klukwan via intertie. Power is purchased from AP&T."
"118","Inside Passage Electric","Hoonah","1128","1739","365","0.65","1161","1789","59","0.65","526","810","45","0.65","2815","4338","469","0.65","PCE",NA
"119","Inside Passage Electric","Kake","677","1043","232","0.65","959","1477","50","0.65","184","283","21","0.65","1820","2803","303","0.65","PCE",NA
"120","Inside Passage Electric","Klukwan","123","189","47","0.65","53","82","8","0.65","43","66","9","0.65","219","337","63","0.65","PCE","Receives power from Chilkat Valley via intertie. Chilkat Valley purchases power from AP&T."
"121","Ipnatchiaq Electric Company","Deering","153","218","43","0.7","196","280","7","0.7","110","157","12","0.7","458","655","61","0.7","PCE",NA
"122","Ketchikan Public Utilities","Ketchikan","7228","71044","6274","0.1","7187","73932","1228","0.1","2115","25306","13","0.08","16531","170282","7515","0.1","EIA",NA
"123","King Cove, City of","King Cove","344","1145","193","0.3","437","1456","196","0.3","311","1038","38","0.3","1092","3639","428","0.3","PCE",NA
"124","Kipnuk Light Plant","Kipnuk","353","828","167","0.43","179","420","32","0.43","105","246","15","0.43","637","1495","213","0.43","PCE",NA
"125","Kobuk Valley Electric Company","Kobuk","160","221","41","0.72","130","179","11","0.72","196","271","6","0.72","486","671","57","0.72","PCE","Receives power from Shungnak via intertie. Refer to Shungnak for fuel use and cost data."
"126","Kodiak Electric Assn Inc","Kodiak","6148","34387","4705","0.18","3722","21450","1042","0.17","14219","87337","103","0.16","24089","143174","5850","0.17","EIA","The KEA service area includes the communities of Port Lions, Chiniak, Womens Bay and Woody Island."
"127","Kokhanok Village Council","Kokhanok","162","180","54","0.9","52","58","8","0.9","129","143","14","0.9","343","381","75","0.9","PCE",NA
"128","Kotzebue Electric Association","Kotzebue","3045","7191","1046","0.42","4406","10407","107","0.42","1171","2766","93","0.42","8623","20363","1246","0.42","PCE",NA
"129","Koyukuk, City of","Koyukuk","78","82","58","0.95","56","59","5","0.95","67","70","10","0.95","201","212","73","0.95","PCE",NA
"130","Kwethluk Incorporated d/b/a Kuiggluum Kallugvia","Kwethluk","376","723","180","0.52","171","329","18","0.52","37","72","9","0.52","584","1124","206","0.52","PCE",NA
"131","Kwigillingok Power Company","Kwigillingok","295","483","96","0.61","266","436","24","0.61","59","96","6","0.61","620","1016","126","0.61","PCE",NA
"132","Larsen Bay Utility Company","Larsen Bay","74","169","47","0.44","189","430","30","0.44","49","111","10","0.44","312","709","87","0.44","PCE",NA
"133","Levelock Electrical Coop","Levelock","85","122","33","0.7","88","126","13","0.7","50","72","16","0.7","224","320","62","0.7","PCE",NA
"134","Lime Village Electric Utility","Lime Village","30","17","17","1.77","32","18","1","1.77","31","18","7","1.77","93","53","25","1.77","PCE",NA
"135","Manokotak Power Company","Manokotak","299","544","141","0.55000000000000004","115","208","23","0.55000000000000004","278","505","23","0.55000000000000004","691","1257","187","0.55000000000000004","PCE",NA
"136","Matanuska Electric Association","Knik-Fairview","68393","452533","54900","0.15","34068","271422","3761","0.13","0","0","0",NA,"102462","723955","58661","0.14000000000000001","EIA",NA
"137","Mcgrath Light & Power","McGrath","482","647","184","0.75","623","835","58","0.75","685","918","52","0.75","1790","2399","294","0.75","PCE",NA
"138","Middle Kuskokwim Electric","Chuathbaluk","81","90","33","0.9","96","107","7","0.9","41","45","9","0.9","217","242","49","0.9","PCE",NA
"139","Middle Kuskokwim Electric","Crooked Creek","97","110","34","0.88","68","77","8","0.88","41","47","6","0.88","206","233","48","0.88","PCE",NA
"140","Middle Kuskokwim Electric","Red Devil","42","48","16","0.87","12","14","3","0.87","7","7","3","0.87","60","69","21","0.87","PCE",NA
"141","Middle Kuskokwim Electric","Sleetmute","89","101","35","0.89","62","70","9","0.89","54","61","6","0.89","205","231","50","0.89","PCE",NA
"142","Middle Kuskokwim Electric","Stony River","36","39","17","0.9","55","61","7","0.9","10","11","1","0.9","100","111","25","0.9","PCE",NA
"143","Naknek Electric Association","Naknek","1561","2704","773","0.57999999999999996","5528","9572","237","0.57999999999999996","3211","5561","162","0.57999999999999996","10300","17836","1172","0.57999999999999996","PCE","Provides power to South Naknek and King Salmon via intertie. Includes South Naknek's and King Salmon's data."
"144","Napakiak Ircinraq","Napakiak","305","356","106","0.86","129","151","17","0.86","50","59","11","0.86","484","566","134","0.86","PCE","Purchases power from Bethel Utilities Corporation."
"145","Napaskiak Electric Utility","Napaskiak","288","411","109","0.7","129","185","15","0.7","50","72","12","0.7","468","668","135","0.7","PCE",NA
"146","Naterkaq Light Plant (City of Chefornak)","Chefornak","359","431","103","0.83","118","142","9","0.83","395","474","23","0.83","872","1047","134","0.83","PCE",NA
"147","Native Village of Perryville","Perryville","139","147","49","0.95","134","141","9","0.95","78","82","9","0.95","351","370","67","0.95","PCE",NA
"148","Nelson Lagoon Electrical Coop","Nelson Lagoon","103","123","32","0.84","107","127","19","0.84","40","47","7","0.84","249","297","58","0.84","PCE",NA
"149","New Koliganek Village Council","Koliganek","131","261","69","0.5","22","45","7","0.5","149","298","23","0.5","302","604","99","0.5","PCE",NA
"150","Nikolai, City of","Nikolai","141","157","39","0.9","68","76","4","0.9","109","121","13","0.9","318","354","56","0.9","PCE",NA
"151","Nome Joint Utility Systems","Nome","3529","9494","1707","0.37","5905","15886","284","0.37","2402","6461","126","0.37","11836","31841","2117","0.37","PCE",NA
"152","North Slope Borough Power & Light","Anaktuvuk Pass","107","710","98","0.15","450","3000","62","0.15","11","72","5","0.15","567","3783","165","0.15","PCE",NA
"153","North Slope Borough Power & Light","Atqasuk","103","686","62","0.15","378","2517","50","0.15","12","78","4","0.15","492","3281","117","0.15","PCE",NA
"154","North Slope Borough Power & Light","Kaktovik","101","675","77","0.15","569","3794","50","0.15","111","743","10","0.15","782","5212","137","0.15","PCE",NA
"155","North Slope Borough Power & Light","Nuiqsut","74","927","105","0.08","345","4307","65","0.08","11","142","7","0.08","430","5376","178","0.08","PCE",NA
"156","North Slope Borough Power & Light","Point Hope","257","1713","181","0.15","563","3753","77","0.15","26","170","8","0.15","845","5635","266","0.15","PCE",NA
"157","North Slope Borough Power & Light","Point Lay","67","448","58","0.15","445","2968","45","0.15","15","98","3","0.15","527","3514","106","0.15","PCE",NA
"158","North Slope Borough Power & Light","Wainwright","176","1171","140","0.15","681","4539","70","0.15","23","153","7","0.15","879","5862","217","0.15","PCE",NA
"159","Nunam Iqua Electric Company","Nunam Iqua","94","178","38","0.53","243","459","4","0.53","108","203","9","0.53","445","840","50","0.53","PCE",NA
