PCE reporting ID...1,AEA Plant ID,eia_plant_id,PCE reporting ID...4,plant_name,AEA_operator Id,eia_operator_id,OPERATOR_Operator_name,INTERTIE_Current Intertie ID,INTERTIE_Current Intertie name,Currently Reports to EIA,Currently Reports to PCE,combined_heat_power,nameplate_capacity,OPERATOR_sector__id,OPERATOR_sector__name,OPERATOR_sector__number,Primary voltage,Primary voltage 2,Phases,Latitude,longitude,"status (OP, SB, OA)",Notes,CPCN
NA,P200,7168,NA,Chester Lake,AEA-108,12385,Metlakatla Power & Light,225_0000,Metlakatla_grid,TRUE,FALSE,FALSE,1.3,1,Electric Utility,1,12.47,NA,NA,55.116879,-131.545879,OP,NA,741
NA,P201,6302,NA,Purple Lake,AEA-108,12385,Metlakatla Power & Light,225_0000,Metlakatla_grid,TRUE,FALSE,FALSE,3.9,1,Electric Utility,1,12.47,NA,NA,55.091263,-131.544978,OP,NA,741
332230,P202,NA,332230,Chuathbaluk,AEA-058,NA,Middle Kuskokwim Electric,144-0000,Chuathbaluk_grid,FALSE,TRUE,FALSE,0.167,1,Electric Utility,1,7.2,NA,NA,61.57194,-159.245,OP,NA,375
332240,P203,NA,332240,Crooked Creek,AEA-058,NA,Middle Kuskokwim Electric,145-0000,Crooked Creek_grid,FALSE,TRUE,TRUE,0.259,1,Electric Utility,1,7.2,NA,NA,61.87,-158.11083,OP,NA,375
332250,P204,NA,332250,Red Devil,AEA-058,NA,Middle Kuskokwim Electric,146-0000,Red Devil_grid,FALSE,TRUE,FALSE,0.092,1,Electric Utility,1,7.2,NA,NA,61.76111,-157.3125,OP,NA,375
332260,P205,NA,332260,Sleetmute,AEA-058,NA,Middle Kuskokwim Electric,147-0000,Sleetmute_grid,FALSE,TRUE,TRUE,0.338,1,Electric Utility,1,7.2,NA,NA,61.7025,-157.16972,OP,NA,375
332270,P206,NA,332270,Stony River,AEA-058,NA,Middle Kuskokwim Electric,148-0000,Stony River_grid,FALSE,TRUE,TRUE,0.166,1,Electric Utility,1,7.2,NA,NA,61.78306,-156.58806,OP,NA,375
332280,P207,6301,332280,Naknek,AEA-059,13201,Naknek Electric Association,150-0000,Naknek_grid,TRUE,TRUE,TRUE,9.9,1,Electric Utility,1,7.2,NA,NA,58.730417,-157.007222,OP,NA,663
332290,P208,NA,332290,Napakiak,AEA-060,NA,Napakiak Ircinraq,034-1988,Bethel_grid,FALSE,TRUE,FALSE,0.25,1,Electric Utility,1,7.2,NA,NA,NA,NA,NA,NA,409
332300,P209,NA,332300,Napaskiak,AEA-061,NA,Napaskiak Electric Utility,153-0000,Napaskiak_grid,FALSE,TRUE,FALSE,0.5700000000000001,1,Electric Utility,1,7.2,NA,NA,60.70806,-161.76611,OP,NA,53
NA,P21,56146,NA,False Island,AEA-005,219,Alaska Power & Telephone Company,023-2015,Prince of Wales Is._grid,TRUE,NA,FALSE,1.3,1,Electric Utility,1,12.47,NA,NA,55.48918,-133.1345,NA,NA,2
332310,P210,NA,332310,Chefornak,AEA-062,NA,Naterkaq Light Plant (City of Chefornak),154-0000,Chefornak_grid,FALSE,TRUE,TRUE,0.921,1,Electric Utility,1,7.2,NA,NA,60.16,-164.26583,OP,NA,10
332470,P211,NA,332470,Perryville,AEA-073,NA,Native Village of Perryville,155-0000,Perryville_grid,FALSE,TRUE,TRUE,0.41000000000000003,1,Electric Utility,1,7.2,NA,NA,55.91278,-159.14556,OP,NA,13
332320,P212,NA,332320,Nelson Lagoon,AEA-063,NA,Nelson Lagoon Electrical Coop,156-0000,Nelson Lagoon_grid,FALSE,TRUE,FALSE,0.3,1,Electric Utility,1,7.2,NA,NA,56.00194,-161.20278,OP,NA,32
332110,P213,NA,332110,Koliganek,AEA-064,NA,New Koliganek Village Council,157-0000,Koliganek_grid,FALSE,TRUE,TRUE,0.42,1,Electric Utility,1,7.2,NA,NA,59.72861,-157.28444,OP,NA,16
332330,P214,NA,332330,Nikolai,AEA-065,NA,"Nikolai, City of",158-0000,Nikolai_grid,FALSE,TRUE,FALSE,0.3,1,Electric Utility,1,7.2,NA,NA,NA,NA,OP,NA,18
332340,P215,90,332340,Snake River,AEA-066,13642,Nome Joint Utility Systems,159-0000,Nome_grid,TRUE,TRUE,FALSE,19.2,1,Electric Utility,1,4,NA,NA,64.505331,-165.429814,OP,NA,0
332350,P216,7487,332350,Anaktuvuk Pass,AEA-067,26616,North Slope Borough Power & Light,160-0000,Anaktuvuk Pass_grid,TRUE,TRUE,FALSE,2.795,1,Electric Utility,1,4.16,NA,NA,68.13795,-151.741017,OP,NA,121
332360,P217,7482,332360,Atqasuk,AEA-067,26616,North Slope Borough Power & Light,161-0000,Atqasuk_grid,TRUE,TRUE,FALSE,3.37,1,Electric Utility,1,4.16,NA,NA,70.4826,-157.4252,OP,NA,121
332370,P218,7483,332370,Kaktovik,AEA-067,26616,North Slope Borough Power & Light,162-0000,Kaktovik_grid,TRUE,TRUE,FALSE,2.72,1,Electric Utility,1,4.16,NA,NA,70.125617,-143.619033,OP,NA,121
332380,P219,7484,332380,Nuiqsut,AEA-067,26616,North Slope Borough Power & Light,163-0000,Nuiqsut_grid,TRUE,TRUE,FALSE,4.4,1,Electric Utility,1,4.16,NA,NA,70.220565,-150.993492,OP,NA,121
331120,P22,69,331120,Haines,AEA-005,219,Alaska Power & Telephone Company,032-1998,UpperLynnCanal_grid,TRUE,TRUE,FALSE,6.2,1,Electric Utility,1,12.47,NA,NA,59.235931,-135.446228,OP,PCE reporting includes diesel and hydro generation,2
332390,P220,7485,332390,Point Hope,AEA-067,26616,North Slope Borough Power & Light,164-0000,Point Hope_grid,TRUE,TRUE,TRUE,3.1,1,Electric Utility,1,4.16,NA,NA,68.348424,-166.737211,OP,NA,121
332400,P221,7486,332400,Point Lay,AEA-067,26616,North Slope Borough Power & Light,165-0000,Point Lay_grid,TRUE,TRUE,TRUE,2.4,1,Electric Utility,1,4.16,NA,NA,69.740833,-163.005833,OP,NA,121
332410,P222,7488,332410,Wainwright,AEA-067,26616,North Slope Borough Power & Light,166-0000,Wainwright_grid,TRUE,TRUE,TRUE,3.11,1,Electric Utility,1,12.47,NA,NA,70.642877,-160.020461,OP,NA,121
332420,P223,NA,332420,Nunam Iqua,AEA-068,NA,Nunam Iqua Electric Company,167-0000,Nunam Iqua_grid,FALSE,TRUE,TRUE,0.84,1,Electric Utility,1,7.2,NA,NA,62.53361,-164.84111,OP,NA,108
332430,P224,109,332430,Dillingham,AEA-069,13870,Nushagak Electric Cooperative,169-0000,Dillingham_grid,TRUE,TRUE,TRUE,6.6,1,Electric Utility,1,12,NA,NA,59.042914,-158.468597,OP,NA,640
332440,P225,NA,332440,Ouzinkie,AEA-070,NA,"Ouzinkie, City of",170-0000,Ouzinkie_grid,FALSE,TRUE,FALSE,0.35100000000000003,1,Electric Utility,1,7.2,NA,NA,57.92361,-152.50222,OP,NA,0
NA,P226,NA,NA,Dry Spruce Bay (Creek),AEA-150,NA,"PB Energy, Inc",NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,227
332450,P227,NA,332450,Pedro Bay,AEA-071,NA,Pedro Bay Village Council,171-0000,Pedro Bay_grid,FALSE,TRUE,TRUE,0.211,1,Electric Utility,1,NA,NA,NA,59.78722,-154.10611,OP,NA,227
332460,P228,6702,332460,Pelican,AEA-072,29297,Pelican Utility,172-0000,Pelican_grid,TRUE,TRUE,FALSE,1.7,1,Electric Utility,1,2.4,NA,NA,57.957197,-136.220095,OP,NA,726
NA,P229,91,NA,Blind Slough,AEA-110,14856,"Petersburg, City of",217-2009,SEAPA_grid,TRUE,FALSE,FALSE,14.5,1,Electric Utility,1,24.9,NA,NA,56.81104,-132.957091,NA,NA,0
331150,P23,423,331150,Hydaburg,AEA-005,219,Alaska Power & Telephone Company,023-2015,Prince of Wales Is._grid,TRUE,TRUE,FALSE,1,1,Electric Utility,1,2.4,NA,NA,55.204937,-132.821435,NA,NA,2
332480,P230,NA,332480,Pilot Point,AEA-074,NA,Pilot Point Electric Utility,173-0000,Pilot Point_grid,FALSE,TRUE,TRUE,0.246,1,Electric Utility,1,7.2,NA,NA,57.56417,-157.57917,OP,NA,0
332490,P231,NA,332490,Platinum,AEA-075,NA,"Platinum, City of",174-0000,Platinum_grid,FALSE,TRUE,TRUE,0.14,1,Electric Utility,1,NA,NA,NA,59.01306,-161.81639,OP,NA,0
332500,P232,NA,332500,Port Heiden,AEA-077,NA,Port Heiden Utilities,175-0000,Port Heiden_grid,FALSE,TRUE,TRUE,0.369,1,Electric Utility,1,7.2,NA,NA,56.94839,-158.62902,OP,NA,0
332510,P233,NA,332510,Kongiganak,AEA-078,NA,Puvurnaq Power Company,176-0000,Kongiganak_grid,FALSE,TRUE,TRUE,0.84,1,Electric Utility,1,7.2,NA,NA,59.88,-163.054,OP,NA,0
332520,P234,NA,332520,Rampart,AEA-079,NA,Rampart Village Council,177-0000,Rampart_grid,FALSE,TRUE,FALSE,0.187,1,Electric Utility,1,7.2,NA,NA,65.505,-150.17,OP,NA,452
NA,P235,NA,NA,Willow Solar,AEA-151,NA,Renewable IPP,215-1985,Railbelt_grid,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,OP,NA,0
332530,P236,NA,332530,Ruby,AEA-080,NA,"Ruby, City of",178-0000,Ruby_grid,FALSE,TRUE,TRUE,0.464,1,Electric Utility,1,7.2,NA,NA,64.73944,-155.48694,OP,NA,0
332550,P237,NA,332550,Saint George,AEA-082,NA,"Saint George, City of",179-0000,Saint George_grid,FALSE,TRUE,TRUE,0.8,1,Electric Utility,1,7.2,NA,NA,56.6,-169.54167,OP,NA,100
332560,P238,NA,332560,Saint Paul,AEA-083,NA,Saint Paul Municipal Electric,180-0000,Saint Paul_grid,FALSE,TRUE,TRUE,2.92,1,Electric Utility,1,7.2,NA,NA,57.12222,-170.275,OP,NA,103
NA,P239,92,NA,Seward,AEA-111,16955,"Seward, City of",215-1985,Railbelt_grid,TRUE,FALSE,FALSE,15.6,1,Electric Utility,1,150,NA,NA,60.130922,-149.43501,NA,NA,108
NA,P24,61684,NA,Klawock Power Generation Station,AEA-005,219,Alaska Power & Telephone Company,023-2015,Prince of Wales Is._grid,TRUE,FALSE,FALSE,2.5,1,Electric Utility,1,12.47,NA,NA,55.553197,-133.08535,NA,NA,2
NA,P240,93,NA,Blue Lake Hydro,AEA-130,17271,"Sitka, City & Borough of",219-0000,Sitka_grid,TRUE,FALSE,FALSE,15.9,1,Electric Utility,1,69,NA,NA,57.0516,-135.2297,OP,NA,1
NA,P241,313,NA,Green Lake,AEA-130,17271,"Sitka, City & Borough of",219-0000,Sitka_grid,TRUE,FALSE,FALSE,18.6,1,Electric Utility,1,69,NA,NA,56.986284,-135.12275,OP,NA,1
NA,P242,6801,NA,Jarvis Street,AEA-130,17271,"Sitka, City & Borough of",219-0000,Sitka_grid,TRUE,FALSE,FALSE,25.6,1,Electric Utility,1,69,NA,NA,57.0497,-135.3128,NA,NA,1
NA,P243,NA,NA,South Fork Hydro (Eagle River),AEA-152,NA,"South Fork Hydro, LLC",215-1985,Railbelt_grid,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,OP,NA,214
NA,P244,61166,NA,Tyee Lake Hydroelectric Facility,AEA-124,60770,Southeast Alaska Power Agency,217-2009,SEAPA_grid,TRUE,FALSE,FALSE,22.6,6,Commercial NAICS Non-Cogen,4,69,115,NA,56.216403,-131.504344,OP,NA,111
NA,P245,NA,NA,Burnett River Hatchery,AEA-154,NA,SSRAA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,341
332570,P246,NA,332570,Stevens Village,AEA-081,NA,Stevens Village Ira Council,181-0000,Stevens Village_grid,FALSE,TRUE,TRUE,0.417,1,Electric Utility,1,7.2,NA,NA,66.00639,-149.09083,OP,NA,345
332580,P247,NA,332580,Takotna,AEA-084,NA,Takotna Community Assoc Inc,182-0000,Takotna_grid,FALSE,TRUE,FALSE,0.216,1,Electric Utility,1,7.2,NA,NA,62.98861,-156.06417,OP,NA,523
332590,P248,NA,332590,Port Alsworth,AEA-085,NA,Tanalian Electric Cooperative,183-0000,Port Alsworth_grid,FALSE,TRUE,TRUE,0.63,1,Electric Utility,1,7.2,NA,NA,60.2025,-154.31278,OP,NA,549
332600,P249,NA,332600,Tanana,AEA-086,NA,Tanana Power Company Inc,184-0000,Tanana_grid,FALSE,TRUE,TRUE,1.375,1,Electric Utility,1,2.4,NA,NA,65.17194,-152.07889,OP,NA,735
331180,P25,7169,331180,Northway,AEA-005,219,Alaska Power & Telephone Company,012-0000,Northway_grid,TRUE,TRUE,FALSE,1.1,1,Electric Utility,1,14.4,NA,NA,62.9617,-141.9372,OP,NA,2
332610,P250,NA,332610,Tatitlek,AEA-087,NA,Tatitlek Village Ira Council,185-0000,Tatitlek_grid,FALSE,TRUE,TRUE,0.315,1,Electric Utility,1,NA,NA,NA,60.86472,-146.67861,OP,NA,573
